gen,TP,MO,SR,TP_o,MO_o,SR_o
6,7.1638,64,4.5739,0.5509281111111111,0.025870064954782012,0.0
6,6.6732,64,9.4771,0.6902368095238095,0.024870892113963414,0.0
6,7.3036,64,5.3562,0.5766161587301588,0.025747332254270564,0.0
6,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
6,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
6,17.417,64,4.4808,0.7108843174603174,0.030058891525174224,0.0
6,17.3779,64,2.3651,0.6467926825396826,0.03319616470354754,0.0
7,7.1774,4,4.4968,0.3488309841269841,0.020783921668315327,0.6666666666666667
7,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
7,7.1008,4,4.5739,0.3499281111111111,0.020394725732948555,0.6666666666666667
7,6.839093208312988,4,1.7897769212722778,0.2622503426907554,0.02838895199897403,0.6666666666666667
7,7.1641,4,1.4846,0.258253873015873,0.03377182784632453,0.6666666666666666
7,7.4726,16,4.5739,0.4558296984126984,0.023835541917290606,0.33333333333333337
7,7.3036,16,4.0883,0.43857915873015874,0.02397569220365902,0.33333333333333337
7,7.1334,16,4.9733,0.4624275714285714,0.023118693087698525,0.33333333333333337
7,6.2016,16,1.6958,0.34931209523809525,0.024823429232769315,0.33333333333333326
7,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
7,7.0963,64,3.9259,0.5304166825396825,0.026036110456076206,0.0
7,7.0963,64,3.9259,0.5304166825396825,0.026036110456076206,0.0
7,6.7551,64,9.0904,0.6799358095238095,0.024940591723296036,0.0
7,6.6732,64,9.4771,0.6902368095238095,0.024870892113963414,0.0
7,6.5973,64,1.7273,0.4565380476190476,0.02695717035012772,0.0
7,7.1371,64,4.3226,0.5429653015873016,0.0259291878443146,0.0
7,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
7,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
7,17.417,64,4.4808,0.7108843174603174,0.030058891525174224,0.0
7,17.1952,64,2.3651,0.6438926825396826,0.033105858533630884,0.0
8,7.1774,4,4.4968,0.3488309841269841,0.020783921668315327,0.6666666666666667
8,7.4726,4,4.3623,0.34948169841269844,0.022038516755488156,0.6666666666666666
8,7.1641,4,1.4998,0.258709873015873,0.033592438368822454,0.6666666666666666
8,7.1008,4,4.5739,0.3499281111111111,0.020394725732948555,0.6666666666666667
8,7.4726,16,4.5739,0.4558296984126984,0.023835541917290606,0.33333333333333337
8,6.7561,16,1.7898,0.3609336825396825,0.026274558249331642,0.33333333333333337
8,7.4726,16,4.3239,0.44832969841269843,0.024026561679602463,0.33333333333333337
8,7.1334,16,4.9733,0.4624275714285714,0.023118693087698525,0.33333333333333337
